Y,Peak_Force_X1,Peak_Force_X2,Peak_Force_Y1,Peak_Force_Y2,Peak_Force_Z1,Peak_Force_Z2,Mean_Force_X1,Mean_Force_X2,Mean_Force_Y1,Mean_Force_Y2,Mean_Force_Z1,Mean_Force_Z2,Mean_FTI_Left,Mean_FTI_Right,Step_Duration,Average_Loading_Rate_Left,Average_Loading_Rate_Right,Average_Unloading_Rate_Left,Average_Unloading_Rate_Right,Time_To_Peak_Force_Left,Time_To_Peak_Force_Right,Double_Support_Time,Stance_Duration,Swing_Duration,FFT_Mean_Left,FFT_std_Left,FFT_Max_Left,FFT_Mean_Right,FFT_std_Right,FFT_Max_Right,PSD_Peak_Freq_Left,PSD_Total_Power_Left,PSD_Band_Ratio_Left,PSD_Peak_Freq_Right,PSD_Total_Power_Right,PSD_Band_Ratio_Right,Harmonic_Ratio_Left,Harmonic_Ratio_Right
1,231.046143,210.338379,42.087753,100.46534,1046.901367,1067.986694,-0.2913629999874906,-2.6951956769458283,-22.221861230791717,21.547745106114444,615.3680026218659,615.2354976301732,400.02779468355084,390.47183143324025,0.49456302521008405,4929.8258583105735,6141.7952505706635,3446.521719523392,2648.628026489423,0.2850508474576271,0.20185,0.14203361344537815,0.6437661016949152,0.35443799435028245,5615.673870812474,163617.49700729083,23957025.170338,5023.7164226587365,162174.26440252026,23634518.271499,1.0166666666666666,7609603.131809269,0.6828452285562266,1.0166666666666666,7728075.44561116,0.6863782937705436,174.45126942299956,184.4682347697715
1,238.355988,225.55687,44.395435,82.901245,1137.965698,1116.005005,-0.6105976662056259,-2.940362207119307,-22.008182404061724,21.709372289976507,622.195030729331,621.2752779405786,400.74230524020476,393.4955209123985,0.500781512605042,7399.1416494856,7945.733264745976,1984.5406547111243,2179.7019274185423,0.14155932203389832,0.1416,0.13849166666666665,0.6393707627118643,0.36278290960451975,4778.249327092002,164454.42514918913,24006702.677107997,4683.252810205194,162581.99901900563,23613544.870509997,1.0166666666666666,7800348.119968395,0.7937114935927948,1.0166666666666666,7956881.371234199,0.8009658416941999,594.9689528647607,637.3642984763642
2,72.545647,75.141342,8.004371,34.988503,581.588867,577.002014,0.9472573402468402,-2.9368639007473996,-14.506438644194226,14.173923845618695,385.75946451471884,378.7381509341777,412.1037914835299,400.7100035222982,0.7629350649350649,1075.879744576532,1351.9433753389803,1370.6706128650367,1021.0400547983108,0.5902307692307692,0.44997368421052625,0.300576923076923,1.0631933198380568,0.47404858299595143,2428.811836155049,108667.09569706826,16087549.541172002,2529.071743421293,107643.59558063827,15904593.629039,0.65,3166161.500966396,0.0638195789858871,0.65,3144000.6325581074,0.06114734168311138,242.36319217809148,217.86087422782498
2,81.638054,274.334534,11.800172,40.051079,600.656128,1024.527222,0.1524392135120458,-1.971618930085973,-15.846157384470608,15.775062988369031,382.3846512595051,384.3066360788566,359.3994062374337,362.55979702792445,0.6859770114942529,923.8205177575383,952.6409482456585,1963.4296718630505,1900.748380762816,0.62025,0.6259534883720931,0.9354942528735632,0.932073467230444,0.4240335623678647,2366.5720676936176,109512.91438549201,16200373.023200002,3158.3918699368373,107538.94771625957,15830767.309725001,0.7333333333333333,3248684.917780642,0.08413223398184745,0.7333333333333333,3198174.402577397,0.07906321774868666,279.05545830730927,196.29800794954036
2,88.353127,93.136909,13.898792,39.044006,605.658447,595.471497,-0.9290935492141459,-1.1019149639993664,-15.327349162126296,15.149427400551842,391.0294020980415,392.6485041807642,350.6290269043648,349.41374674402584,0.6487528089887641,868.6537062419708,900.2037339223806,2283.9256586305,2304.1633721309104,0.6369555555555556,0.6385555555555555,0.2358111111111111,0.8847444444444446,0.43455555555555553,2293.3237173603516,110118.14597294996,16278721.137272999,2185.6011355962464,107227.76069315056,15730704.57903,0.75,3286519.416618924,0.09749892258135104,0.75,3231316.6626923373,0.08703859303961549,209.39950952388173,178.2776729787277
2,100.979156,96.96804,16.947273,43.050182,697.944458,615.77063,1.217792161913221,-3.221724112483555,-17.893960661863417,16.935954702431655,404.2983120111523,390.8639358289993,323.03109312441325,309.9824857582745,0.6005353535353536,1052.0287663309732,976.43701393631,2694.697686008243,2652.712112763138,0.5716938775510204,0.5688823529411764,0.7856899999999999,0.7887148859543818,0.4001830732292917,2334.7282091576717,109988.34520555903,16221166.580822,2004.8368335812734,107774.07062784897,15816223.768999,0.8333333333333334,3334593.0228717076,0.12633282767095408,0.8333333333333334,3285360.947443733,0.11790955953566482,593.6923761257934,664.1691025975629
2,111.140465,109.915375,26.537336,42.324131,651.745728,615.004822,-1.7431136068205757,-0.21298892147517576,-14.409492576352015,14.728911319740714,394.32607690572854,399.02847209869253,315.904189223365,307.10417653755553,0.583990099009901,1064.7824820762005,1024.566218745389,3000.727568642375,3040.901766212364,0.58124,0.5757450980392157,0.20495098039215684,0.7893039215686275,0.3835678431372549,2584.705440857548,111007.11830290902,16354365.666307999,2661.151605707991,107253.92765750794,15676667.293351002,0.85,3383596.008845342,0.16021720490872607,0.85,3290676.354862837,0.1417696375516973,192.831669594009,174.74121902978655
2,120.518028,116.614731,17.781696,41.335945,663.592712,641.660522,0.2021659256858127,-2.2452397261787778,-18.843583011817568,18.184234863083244,412.7200550713759,405.3221512762498,296.04803815144294,291.14922377742744,0.5498348623853211,1130.7346457551726,1124.2943551489375,3635.205632100402,3347.873165702462,0.5472777777777778,0.5371851851851852,0.16799082568807336,0.7177962962962963,0.3802037037037037,3514.229551209548,110922.65225244427,16276997.931323,3414.067344559403,108030.33604978427,15792051.634607999,0.9166666666666666,3489455.9979211465,0.18197189247507758,0.9166666666666666,3378247.996058933,0.16380321747538776,158.1795471287734,150.83770010425542
2,132.046783,124.267693,24.633215,48.428326,662.869324,642.105652,-1.2948729750046726,-0.8372532754767451,-18.592202045246793,18.908168892768238,403.4271501328362,406.9524455630629,281.3867051347807,279.35568391650594,0.5201504424778761,1178.7338060414625,1433.623833029989,3737.7454797840323,3302.7290599449893,0.5180526315789474,0.47251785714285716,0.15807079646017702,0.687609022556391,0.36401550751879697,3119.241740780269,110858.50963378882,16217271.754574,3247.894284350473,108416.1310456841,15842876.325038,0.95,3531768.2204327118,0.21096159948861246,0.95,3407036.3044204484,0.1910890605660073,405.11937006483583,351.4358415991997
2,155.501556,149.716644,23.787815,54.65683,683.429321,658.386719,-1.3200977378196457,-0.8440893432819478,-18.547844405565424,18.057760226692675,417.7022605124497,412.5853479536616,279.7053175810555,275.3568499142237,0.5193805309734513,1329.005371156282,2223.5327666478324,4019.873595565451,2709.572069516652,0.5014385964912281,0.3579649122807017,0.1495478260869565,0.6689122807017545,0.3755175438596491,3184.242180848623,111225.2548596985,16223678.220161,2836.5632598018283,109024.9722497128,15851268.571785001,0.9666666666666667,3590964.000240418,0.23995846719497071,0.9666666666666667,3521491.614520048,0.22759293290271998,316.4743153705262,323.5818177283685
